ID_Unidad,Placa,Serial,Marca,Modelo,Color,Tipo_Vehiculo,Tipo_Flota,Estatus_Final,Situacion_Actual,Gerencia,Responsable_Usuario,Cargo_Usuario,Ubicacion_Taller,Documento_Url,Ubicacion_Actual
21779,91JVAU,JN1CNUD225X451332,NISSAN,DOBLE CABINA,BLANCO,PICK-UP,Liviana,DESINCORPORADO,FUERA DE SERVICIO,SEGURIDAD INTEGRAL (DSI),TRANSPORTE TERRESTRE,,,,
21820,87TVAT,JN1CNUD225A714290,NISSAN,DOBLE CABINA,BLANCO,PICK-UP,Liviana,DESINCORPORADO,FUERA DE SERVICIO,SERVICIOS LOGISTICOS,TRANSPORTE TERRESTRE,,,,
21851,80UVAT,JN1CNUD225A714308,NISSAN,DOBLE CABINA,BLANCO,PICK-UP,Liviana,EN PROCESO DE DESINCORPORACION,FUERA DE SERVICIO,SERVICIOS LOGISTICOS,TRANSPORTE TERRESTRE,,,,
21856,99IVAU,JN1CNUD225X451304,NISSAN,DOBLE CABINA,BLANCO,PICK-UP,Liviana,DESINCORPORADO,FUERA DE SERVICIO,GOIP,TRANSPORTE TERRESTRE,,,,
21900,68TVAT,JN1CNUD225A714209,FORD,F-150,BLANCO,PICK-UP,Liviana,EN PROCESO DE DESINCORPORACION,FUERA DE SERVICIO,SERVICIOS LOGISTICOS,TRANSPORTE TERRESTRE,,,,
21908,81ZAAO,JN1CNUD226A714617,NISSAN,FRONTIER,BLANCO,PICK-UP,Liviana,DESINCORPORADO,FUERA DE SERVICIO,COORDINACION OPERACIONAL,TRANSPORTE TERRESTRE,,,,
91,A86AS2C,1GC0CVCG3DF140091,CHEVROLET,SILVERADO,BLANCO,PICK-UP,Liviana,INOPERATIVA,PARADA POR FALLA,GOIP,EMILIO GUZMAN,,,,
20,28EVAB,AJF1WP50947,FORD,F-150,BLANCO,PICK-UP,Liviana,A DESINCORPORAR,FUERA DE SERVICIO,GOIP,CARLOS OROPEZA,,,,
97,SIN PLACAS,POR CERTIFICAR,CHEVROLET,SILVERADO,BLANCO,PICK-UP,Liviana,EN ESPERA POR REMOLQUE,POR CERTIFICAR FALLA,SEGURIDAD INTEGRAL (DSI),RUSBET VILLASMIL,,,,
760,A33AJ2V,8ZCNCRE06BV316208,CHEVROLET,SILVERADO,BLANCO,PICK-UP,Liviana,A DESINCORPORAR,FUERA DE SERVICIO,COORDINACION OPERACIONAL,TRANSPORTE TERRESTRE,,,,
761,A33AJ1V,8ZCNCRE00BV316222,CHEVROLET,SILVERADO,BLANCO,PICK-UP,Liviana,A DESINCORPORAR,FUERA DE SERVICIO,COORDINACION OPERACIONAL,TRANSPORTE TERRESTRE,,,,
764,A32AJ9V,8ZCNCRE03BV316196,CHEVROLET,SILVERADO,BLANCO,PICK-UP,Liviana,DESCONOCIDO,DESCONOCIDO,GERENCIA REGIONAL DE VIVIENDA,ALDRI MARDONADO,,,,
766,A55AJ7V,8ZCNCRE08BV319515,CHEVROLET,SILVERADO,BLANCO,PICK-UP,Liviana,EN PROCESO DE DESINCORPORACION,FUERA DE SERVICIO,SERVICIOS ELECTRICOS,TRANSPORTE TERRESTRE,,,,
769,A55AJ8V,8ZCNCRE0XBV319516,CHEVROLET,SILVERADO,BLANCO,PICK-UP,Liviana,A DESINCORPORAR,FUERA DE SERVICIO,SERVICIOS ELECTRICOS,TRANSPORTE TERRESTRE,,,,
771,A32AJ2V,8ZCNCRE09BV316252,CHEVROLET,SILVERADO,BLANCO,PICK-UP,Liviana,EN ESPERA POR REMOLQUE,POR CERTIFICAR FALLA,AMBIENTE,GUZMAN LOPEZ,,,,
791,A12AI9A,8ZCNCE01BV335720,CHEVROLET,SILVERADO,BLANCO,PICK-UP,Liviana,A DESINCORPORAR,"DENUNCIADA ANTE EL MP, OFICIO FECHA:10-01-2018, N° GNB-CONAS-GAES-ZULIA-SECC-COL:0005",SERVICIOS LOGISTICOS,TRANSPORTE TERRESTRE,,,,
805,A82AI0A,8ZCNCRE07BV339402,CHEVROLET,SILVERADO,BLANCO,PICK-UP,Liviana,A DESINCORPORAR,FUERA DE SERVICIO,SERVICIOS LOGISTICOS,TRANSPORTE TERRESTRE,,,,
687,SIN PLACAS,1GC0CVCGXCF200687,CHEVROLET,SILVERADO,BLANCO,PICK-UP,Liviana,EN PROCESO DE DESINCORPORACION,FUERA DE SERVICIO,COORDINACION OPERACIONAL,TRANSPORTE TERRESTRE,,,,
1106,SIN PLACAS,1FTMF1CM1CFC71106,FORD,F-150,BLANCO,PICK-UP,Liviana,OPERATIVA,OPERATIVA,COORDINACION OPERACIONAL,ALEXANDER LEON,,,,
1322,SIN PLACAS,1GCOCVCG9CF151322,CHEVROLET,SILVERADO,BLANCO,PICK-UP,Liviana,EN PROCESO DE DESINCORPORACION,FUERA DE SERVICIO,GOIP,TRANSPORTE TERRESTRE,,,,
2233,A71AM2I,1GC0CVCG7DF142233,CHEVROLET,SILVERADO,BLANCO,PICK-UP,Liviana,A DESINCORPORAR,FUERA DE SERVICIO,COORDINACION OPERACIONAL,TRANSPORTE TERRESTRE,,,,
2348,SIN PLACAS,5TFJU4GN7EX062348,TOYOTA,TACOMA,GRIS PLATA,PICK-UP,Liviana,EN ESPERA POR REMOLQUE,POR CERTIFICAR FALLA,GERENCIA GENERAL DAP,ALEJANDRO BORGES,,,,
3063,SIN PLACAS,1N6AD0ER2CC463063,NISSAN,FRONTIER,BLANCO,PICK-UP,Liviana,EN PROCESO DE DESINCORPORACION,FUERA DE SERVICIO,AIT,TRANSPORTE TERRESTRE,,,,
4630,AA147RS,8Y8RX5FP6A1113235,JEEP,CHEROKEE,AZUL,PICK-UP,Liviana,EN ESPERA POR REMOLQUE,POR CERTIFICAR FALLA,DIRECCION EJECUTIVA DE EXPLORACION Y EEII DE YACIMIENTOS(DEXEIY),JINMY VILCHEZ,,,,
5510,SIN PLACAS,1N6AD0EV4CC455510,NISSAN,FRONTIER,BLANCO,PICK-UP,Liviana,INOPERATIVA,PARADA POR FALLA,COORDINACION OPERACIONAL,JORGE DIAZ,,,,
5525,A71AM1I,1FTMF1CM9CKE15525,FORD,F-150,BLANCO,PICK-UP,Liviana,OPERATIVA,OPERATIVA,RELACIONES GUBERNAMENTALES PROPIEDADES Y CATASTRO,JOSE CANELONES,,,,
6075,SIN PLACAS,1N6AA0EJ5CN326075,NISSAN,TITAN,PLATEADA,PICK-UP,Liviana,OPERATIVA,OPERATIVA,DIRECCION EJECUTIVA DE EXPLORACION Y EEII DE YACIMIENTOS(DEXEIY),LEDELY CHAVEZ,,,,
